,1,2,3,4,5,6,7,8,9,10,11,12
28,,0,,0.2,,10.5,0.6,9,,23.5,,
29,,-999,,2.6,,,7.8,179.5,,2.6,,
30,,-999,,14.2,22.3,0.5,0.5,27.3,,0.9,,
31,,-999,,-999,12,-999,,,-999,,-999,
2015,1,2,3,4,5,6,7,8,9,10,11,12
1,,4.2,2.7,,,11.1,,45.1,,,3.1,
2,,0.4,,,,35.6,,29.9,,14.6,,
3,,0.1,,,,21.3,,1,18.7,,,1.1
4,,7.2,,,,0.3,40,57.4,6.4,,,10.1
5,,1,1.4,,,27.4,11.5,0,3.4,,,17.6
6,1.6,,3.3,,,8.5,0,34.2,,,,
7,0.1,0,0.4,21.9,,3.9,0.1,,,,1.6,
8,0.8,1,1.4,1.1,,0.4,,,55.5,,2.9,1.1
9,6.3,,3.6,0.2,16.2,0.1,,,6.9,1.5,84.8,
10,20.4,,2.2,10.2,,0.1,0,,,24.5,6.9,
11,15.8,4.4,0.8,0.1,,16.1,1.1,0.2,,2.5,18.4,1.7
12,0.7,,1.6,,0.8,13.5,,,4.4,0,31,
13,,,0.4,,0.1,0.5,,,,,3.1,
14,,4,1.2,,0.2,,,0.1,,,,0.2
15,,0.8,0.6,,1.6,45.8,,0.1,1.8,,,0.1
16,,,,,35.2,1.4,13.3,,2.7,,,1.7
17,,,,,,,,,30.5,,,
18,,,,,,,0.5,,118.9,,,
19,,,,,,18.5,,,,,0.4,
20,,,0.1,,1.7,,4.5,18.6,,,55.2,
21,,,,,34.3,,0.8,,7.7,,,
22,,,,0,4.5,7.3,0.4,,0.3,,,
23,,,1.9,0.2,1.8,0.5,,,,,0.2,
24,,,20.4,,60.4,17,6.3,,2.2,,2.7,0.1
25,,,7.5,,,108.7,31,,,,4.3,8.6
26,,,3.2,,,,2.8,,20.2,,4.4,15.3
27,,,0.4,0.2,,,,,,,,
28,,,,,,,3,,,,,
29,,-999,,0.2,,,3.8,1.2,,,,3.5
30,,-999,,0,,,1.5,19.4,1.6,,,0.7
31,0.5,-999,0.3,-999,0.4,-999,12.5,,-999,10.6,-999,
2016,1,2,3,4,5,6,7,8,9,10,11,12
1,,1.4,,0,,0.5,1.5,,,,2,
2,,,,0.6,,,19.2,,51.4,,,
3,,,,,,,0.6,14.1,,,,
4,,2.9,,,,,,0.7,,,,
5,,,0,0,,,16,39.3,,4.5,,
6,,,0.3,2.9,,,28,,10,,,
7,,,,1.6,,7.4,15.1,,7,,0,
8,0.1,,0.3,,0,0.2,,8.3,,,1.3,
9,0.3,,0.7,15.2,,,,,,,10.9,
10,,,1.1,,,,,20,,,16.5,
11,,,,,,,,16.6,0.1,,,
12,,,,,0.2,0,9.1,42.1,,,,
13,0.5,,1.1,,0.3,,,0.6,3.8,2.7,,
14,10.2,,,0.3,,,1,166.5,,,,
15,10.1,0,,,,,11.1,18,0.4,8.3,,2.4
16,0.6,,0.7,,,15.6,0.3,0.8,6.9,,,0.2
17,0.1,,0.6,0,,,0.1,3,,,,
18,,,0.6,21.2,,18.3,,2.6,,,,
19,,,0.1,,,18.7,8.5,171.4,,,,
20,,,0,7.4,0,,5.1,10.6,,,,
21,0.8,,0.8,9.8,27,,,0.8,,,,
22,3,,0.1,21.3,0.9,,,11.4,,,,
23,2.8,0.7,0,4.7,,,11,65.3,,,,
24,13,8,25.6,21.7,21.9,,0.9,,26.9,,2.8,
25,2.7,,0.2,23.4,68.3,,,,0.9,4.3,,
26,33.6,1.3,,,35.7,,,,,,0.8,
27,14.6,,,0.7,5.9,11.7,4.3,15.8,,,,3.4
28,15.1,0,,,11.9,,137.5,110,14.1,,,
29,0,,,,0.1,7.8,3,0.5,,11,,
30,2.5,-999,2,1.3,1.5,6.2,0,,13.9,4.6,,
31,0.6,-999,2.2,-999,4.8,-999,,,-999,13.9,-999,
2017,1,2,3,4,5,6,7,8,9,10,11,12
1,1.5,,1.3,,,0.2,,73.7,,,,
2,0.5,,,,,,0.5,2,,2.9,,
3,,,,,,,0.6,15.4,,32.4,,
4,,1.2,,,,,26.3,27.4,,27.4,,
5,,,,,,0,26.9,12,29.5,8.6,,
6,,,,,5.2,7.4,0.1,2.7,,1,,
7,,,0.2,0.1,,85.2,1.2,,,7.9,,
8,,4.8,2.7,0.1,5.3,,22.3,,,8.5,,5.7
9,,,1.1,,0,,4.5,,0.1,,1.2,
10,16.8,,3.1,,,6.6,,0.5,38.9,36.1,0.3,
11,68,,0.4,,8,,26,,24.2,47.9,,
12,34.2,,0.5,0.7,15.2,,15,,,21.6,,0.6
13,8,,,0.1,0.3,11.3,10.9,,0.4,16.1,,0.5
14,,,,,6.6,0,0.2,,6.9,,,2.1
15,,,0.8,0,3.4,,1.4,31.6,10.5,,,0.5
16,0,,1.4,0.6,0.7,,10.3,14.7,267.3,4.3,,
17,2.3,,1.4,8.1,1.1,2.2,163.4,49.5,,3.3,,
18,,,0.3,15.8,4.6,0.3,5.8,27.2,,0.9,,
19,0,,,0.9,22.4,0.8,0.1,,,1.2,,
20,,,0.4,,0.8,1.2,0.7,,1.2,,,
21,0,,6.4,6.5,2.3,,89.8,,,,,
22,,,,6.9,0.1,11.5,3.9,,13.5,,,
23,,,,11.5,0,3,10,,3,,,
24,,,,,41.6,15.9,,49.1,,,,
25,,0.3,24.4,1.5,5.8,0.1,4.2,5,30.7,,,
26,,,0.5,0.4,,6.2,,25.5,1.2,,,
27,,,,10.1,,0.2,,,5.3,,,21.7
28,,,0.4,,,11.1,,,,,,25.7
29,,-999,0.2,,,97.4,2.4,25.2,1,,,
30,,-999,0,,,2.7,,56.1,5.4,,,3.7
31,,-999,29.7,-999,,-999,,6.3,-999,,-999,
2018,1,2,3,4,5,6,7,8,9,10,11,12
1,,,,,,2.3,,6,2.7,,,
2,,,,,58,31.1,,0.2,2.2,,,
3,0,,,,1,0.7,,0.3,1.7,,,
4,0.3,,,,9.9,,,12,,,,
5,,,,0.6,5.7,2.3,,4.1,,,,
6,,,,14.7,,,,7.8,,,,
7,0.7,,,,,,21.8,11.2,,,0,1.4
8,0.7,,2,,,,,,,,0.2,2
9,6,,,,0,,20.8,,,,,4.7
10,0.1,,,,,0.7,9.7,,,36.3,1.2,
11,,,,,15.3,17.8,3.5,,,,16.3,3.6
12,,,5.9,,5.2,2.2,,17.9,,,24.3,16.9
13,,,0.1,,5.5,,2.2,1.6,,,,
14,,,,0.2,3.3,,42.2,,0,,,
15,,,,1,0.6,1.3,20.3,8,,,,
16,0.3,,,5.6,,2.7,11.6,18.6,,17.3,,0.2
17,0.9,,,,,39.6,10.6,26.8,0.5,3.4,2.2,
18,,,15.8,,1.9,,34.6,14.1,34.7,0.8,0,
19,,,0.1,,2.4,,29.3,0,40.1,1.3,2.1,
20,,,,,9.1,1.7,8.1,,10.1,4.2,,
21,,0,,,,0.7,164.8,,,0.1,,
22,,0.6,,,,,3.3,0.8,,16,8,
23,,0.4,,,,,0.5,2.2,,33.5,,
24,,,,0.1,,1.3,,0.1,,44.4,,
25,,1.4,,34.8,0.2,1.3,2.6,17.9,,,,
26,0,0.2,0.3,2.3,,0.5,6.1,3.6,,,0.1,
27,0.3,,,47,37.3,43.9,49.8,,0.3,,,
28,0.8,,,0.8,16.6,,32.1,25,34,,,6.8
29,1.1,-999,,,,,30,66.1,,,,13.6
30,,-999,18.6,,2.8,,2.5,191.2,,,,16
31,2.4,-999,,-999,12.8,-999,16.6,5.2,-999,,-999,33.5
2019,1,2,3,4,5,6,7,8,9,10,11,12
1,,,0.7,21,29,18.3,,12.5,43.5,,8.4,
2,,,,0.3,8.1,0.1,5.5,3.4,5.5,,4.5,
3,,,,0.2,3.8,,0.8,167.1,0.1,,9.6,
4,,,0,17.1,3.3,0.6,89.5,45.7,,,,
5,,,0,0,2.9,2.8,,8.3,,,,
6,,,0.6,,,20.9,,2.6,,,,
7,0.8,,0.4,,1.8,58.1,,,,,,
8,1.5,,0,,1.5,56.4,,6.2,,4.6,,
9,6.8,,0.1,,0,,0.3,25.4,,48.2,,
10,1,,,,,,4.3,,8,,,
11,,0,,0.2,3.8,,,,8.1,,,
12,,0.3,,0,,,,,,,,
13,0.4,,,,,0,,,,4,0.8,
14,,,,,0,,,,,0,18.5,
15,2.7,,,0.7,0.3,,0.8,,,2.8,,
16,4.6,,0,4.7,,,,1.3,,,,
17,0.1,1.4,2.1,,,1.6,,,,20.9,,
18,,21.2,1.4,,,59.7,,,26.7,6.6,0.6,
19,,,0.9,,,0.6,,,35,,1.4,
20,,,,,,,18.9,0.9,,,,0.3
21,3.6,,,,1.9,,2.6,1,,,,0.5
22,,0.2,,,,,25.2,26.4,,,,2
23,,2.4,1,,,,0.1,14.3,,,,0.1
24,,0.1,0.5,,2.4,,36.6,0.3,,1.5,,0.1
25,,1.1,0.2,,18.8,,4.7,,,0.1,,
26,,0.1,,,,,,,,,,2.3
27,,0.7,0,5.3,,,0.1,,,,,0.2
28,,,0.2,1,,,0,10.6,,7.6,0.2,
29,,-999,7.6,,0.4,,,3.9,,0.5,,
30,,-999,,59.5,4.1,2.5,,34.8,,,,
31,,-999,,-999,26.2,-999,0.8,117,-999,,-999,0.1
