wind,max_temp,min_temp,solar_r,humidity,discharge,rain,water_level
3.9167,25.8667,25.8667,23.2463,0.8333,35.5667,3.5667,515.4467
3.5833,25.3333,25.3333,21.9963,0.8467,36.9667,8.7,515.46
3.5,25.1333,25.1333,22.2347,0.8533,37.6333,6.9,515.4667
3.75,25.1667,25.1667,21.0317,0.8533,36.1667,7.0,515.4533
2.9167,25.4667,25.4667,22.8143,0.8467,35.1333,0.1,515.4433
1.8333,25.0,25.0,19.6297,0.8633,38.7,2.7,515.4733
0.9167,24.6667,24.6667,17.9357,0.88,44.8333,5.3,515.5267
1.0833,24.4667,24.4667,16.2933,0.8833,49.2667,5.4,515.5667
0.9167,24.6333,24.6333,16.785,0.8733,52.7667,15.0333,515.5933
0.5833,24.3,24.3,14.7983,0.88,57.6667,13.7667,515.63
0.9167,24.1667,24.1667,13.408,0.88,64.5,14.4333,515.68
1.5833,23.7333,23.7333,10.928,0.9067,65.8,11.3667,515.6933
1.75,23.2667,23.2667,10.0347,0.93,98.5667,26.1,515.8733
1.25,22.7667,22.7667,9.538,0.9533,215.6667,35.2,516.4
0.75,22.9333,22.9333,11.9127,0.93,280.0,29.3667,516.7433
0.75,23.3,23.3,13.05,0.8933,286.0,18.1667,516.7867
1.25,23.8667,23.8667,15.6717,0.8633,193.3333,18.4667,516.4133
1.75,23.6333,23.6333,14.0867,0.8567,155.6667,26.1333,516.2367
1.75,23.5667,23.5667,14.5803,0.87,146.0,25.4667,516.1933
1.25,23.5,23.5,13.936,0.87,144.3333,15.7333,516.1867
0.8333,23.9667,23.9667,15.6673,0.8567,133.0,4.8,516.1233
0.9167,23.9667,23.9667,15.469,0.8533,133.0,3.1667,516.1133
1.6667,23.8333,23.8333,17.647,0.85,151.6667,3.2,516.2033
2.3333,23.3667,23.3667,16.2613,0.85,157.3333,6.2667,516.2367
3.0833,23.1667,23.1667,16.509,0.8233,142.3333,4.0,516.1633
3.1667,22.6333,22.6333,12.995,0.8333,109.7667,4.4333,515.99
2.4167,22.3333,22.3333,13.9367,0.8567,99.7333,10.7667,515.93
1.5833,22.1333,22.1333,14.037,0.8867,105.7333,17.4333,515.9633
0.6667,22.4667,22.4667,17.5063,0.88,115.3,17.9667,516.0233
0.5833,22.7333,22.7333,17.3593,0.88,119.6667,9.0,516.0533
0.6667,23.2667,23.2667,17.4603,0.8733,108.8667,3.4333,515.9867
0.8333,23.4333,23.4333,15.927,0.8867,107.8667,10.3333,516.0
1.0833,23.6,23.6,14.7383,0.8733,119.5333,11.0,516.0633
1.1667,23.3,23.3,14.294,0.88,130.3333,13.1333,516.13
1.3333,23.1,23.1,14.943,0.8733,131.0,12.0333,516.1133
1.4167,23.1333,23.1333,17.3297,0.8667,120.6667,10.8667,516.0533
1.1667,23.3,23.3,17.879,0.8433,114.3333,7.2333,516.0167
0.8333,23.2333,23.2333,17.8343,0.8333,105.4667,0.2667,515.9633
0.3333,23.4,23.4,17.939,0.8233,97.9,0.2667,515.9167
0.1667,23.8,23.8,21.378,0.8233,88.5333,0.4,515.8533
0.4167,23.8667,23.8667,22.0313,0.83,82.2,8.3333,515.81
0.8333,23.8,23.8,21.2893,0.8433,87.7667,8.4,515.8467
1.0833,23.5333,23.5333,20.7007,0.8433,95.8,8.2667,515.9
0.9167,23.9333,23.9333,21.656,0.8233,98.2,0.0667,515.9167
0.75,24.1333,24.1333,24.208,0.8133,86.9333,0.0,515.84
0.75,23.8667,23.8667,22.2183,0.8333,77.1333,27.2,515.7767
0.6667,23.6333,23.6333,21.0277,0.84,75.0667,27.2,515.7633
0.5833,23.5,23.5,20.8373,0.84,76.3333,29.6,515.7733
0.6667,23.7,23.7,22.896,0.82,80.3,13.0,515.8
0.8333,24.1667,24.1667,24.5063,0.8167,80.5667,13.0,515.8
1.0,24.3333,24.3333,24.7163,0.8167,79.1667,10.6,515.79
1.0,24.2667,24.2667,24.4247,0.8367,71.7667,1.9333,515.7367
0.75,23.9,23.9,22.979,0.8567,68.5,1.9333,515.7133
0.5,23.7,23.7,21.6827,0.87,70.1333,2.1333,515.7233
0.9167,23.3333,23.3333,18.2733,0.88,75.3333,2.3333,515.76
1.5833,22.8667,22.8667,14.91,0.89,81.2333,4.3333,515.8033
1.6667,22.6333,22.6333,11.1413,0.9033,84.5,5.2,515.8267
1.0833,22.7667,22.7667,11.0923,0.9167,92.5333,9.0,515.8833
0.4167,23.2,23.2,13.2087,0.9167,95.9,7.8333,515.9033
0.3333,23.1,23.1,13.2577,0.9233,98.9667,8.6,515.9233
0.1667,23.0667,23.0667,13.4097,0.9133,96.8333,5.6,515.9067
0.0833,22.8667,22.8667,12.251,0.9033,97.2333,8.2667,515.91
0.4167,22.9,22.9,12.249,0.8933,96.9,13.1667,515.8967
0.8333,23.1333,23.1333,11.8443,0.89,100.3667,15.9333,515.9167
1.0,23.3667,23.3667,12.6033,0.9033,162.5667,25.2,516.2133
0.75,23.5667,23.5667,14.929,0.9033,249.3333,33.0667,516.62
0.5833,23.5333,23.5333,15.6873,0.9,297.3333,28.5,516.8567
0.6667,23.3,23.3,15.5353,0.89,269.0,17.0667,516.7367
0.6667,23.3667,23.3667,14.7243,0.8933,217.3333,9.8333,516.5267
0.5833,23.7333,23.7333,16.3967,0.8867,211.3333,9.3667,516.5033
0.5,24.1333,24.1333,18.374,0.8767,212.0,8.0333,516.5067
