,arima_q_hanoi,arima_h_hanoi,arima_q_kontum,arima_h_kontum
42,1923.6134347596808,321.9255548849099,72.30600075183341,515.656300692022
43,1964.6315406638423,328.0672828912051,73.78900904492367,515.6729613075354
44,2004.1284822783014,334.0235835295935,74.63165416148078,515.686592774162
45,2090.094061570938,340.4711159295013,100.49532210549488,515.9767786450033
46,2125.2678028211913,346.05221502542986,93.31314602172266,515.9434912010897
47,2159.1370339882014,351.4648246110439,91.31180610858607,515.9306321454824
48,2191.7501362363478,356.7140312677853,90.81491285768212,515.921379569577
49,2223.153696388137,361.80476801673035,90.75317735224621,515.9140060340424
50,2035.264641367419,333.1591215756321,109.32209656294158,516.0193202744501
51,2072.7168646481286,338.94449078235,109.45842756423541,516.0243869417893
52,2108.780378396165,344.5554161931826,109.19661434179714,516.0160362738546
53,2143.5066752599523,349.99715773828063,108.82767022984103,516.0058227727917
54,2176.9453385665074,355.2748167473408,108.4359747931383,515.9974907824094
55,3281.413753088143,469.46040646921523,97.97072473096198,515.9212258929
56,3272.6295874596753,471.1776309371503,99.66365296737976,515.928953329473
57,3264.1717254115765,472.8428000487236,100.04116239578896,515.9298984656888
58,3256.0280458123616,474.45749179223924,100.0392518446725,515.9283792704991
59,3248.186877791707,476.0232363214025,99.93015415015854,515.927077516655
60,3230.004321143141,462.2943243213488,87.21064281185133,515.8562139883503
61,3223.1238588514234,464.22053827803967,90.72480197766568,515.8703529836143
62,3216.499058807274,466.08835723429667,91.79874030458915,515.8758021898229
63,3210.1204211861086,467.89955148986445,92.16117217978763,515.8785941788719
64,3203.978799155104,469.65583767617426,92.31514446345811,515.8808052033987
65,2881.573126288574,427.4582487803239,78.78044807366689,515.7993952414633
66,2887.6383357205204,430.4265826569993,83.35530976534335,515.8234653909374
67,2893.4781289448547,433.30498780627045,84.87761778334685,515.8332435486655
68,2899.100883655245,436.096188711416,85.50635979066823,515.8378572283804
69,2904.5146661846466,438.8028273146919,85.8698063235445,515.8415994138805
70,2762.993231136447,416.3732715728927,89.65494135376858,515.8838433794392
71,2773.4564819923394,419.6681431280685,90.92993813946025,515.901237245616
72,2783.5308719265195,422.86325325311935,91.36664956605976,515.9045671836833
73,2793.230852739725,425.96162250371,91.55757468249114,515.9025719779877
74,2802.5703391395245,428.96617997975403,91.6751562712593,515.9009562554517
75,3061.8229705693125,444.83332003618307,92.42591765276714,515.9074910163255
76,3061.1827509862687,447.27511526061323,93.02438644036899,515.9104826522853
77,3060.566330305708,449.64292901146894,93.22732102002692,515.910125302816
78,3059.972823850288,451.9390027782811,93.31434188541344,515.908751091226
79,3059.401379828804,454.16551013796595,93.36683332879635,515.907609882167
80,3490.555660477751,488.8870958922817,117.1769542631982,516.0679219715203
81,3473.987194234359,489.9999972782305,104.47452127183843,516.0099867333496
82,3458.0344651012197,491.0791726886895,100.68496910198412,515.991623832195
83,3442.674590321211,492.1256441741629,99.4918171395586,515.9820448742905
84,3427.885537533531,493.14040281237465,99.05683303395519,515.9742692655273
85,4257.685901514598,558.3340709068699,172.03539261096282,516.3790503796876
86,4212.625884868458,557.3516524177153,146.1425143854589,516.2787082393836
87,4169.240477480401,556.3990470862549,137.7796776025197,516.2368227783314
88,4127.467444216575,555.4753501815807,134.54261640191834,516.2116419050079
89,4087.2468628479883,554.5796844283808,132.82044094871236,516.1910322861338
90,3486.588672395911,487.792575809011,114.65048891771329,516.0109836573935
91,3470.211089246193,488.9391666112024,120.41123016844504,516.0286431963096
92,3454.442787751655,490.05095750545485,121.52111280288537,516.0304749588123
93,3439.2611013117403,491.12900469559474,121.29238826109227,516.0296016529388
94,3424.644206572651,492.1743323288544,120.6895292156335,516.0285699938623
95,4129.345157487912,543.8410703038478,118.2357177424034,516.043767527711
96,4089.133654222503,543.2980946615186,119.94057744643307,516.0504389292354
97,4050.4168201328807,542.7716050222119,119.91113590142459,516.0502625519396
98,4013.1390980833094,542.2611008325429,119.39172321539759,516.0481628010525
99,3977.2469960072885,541.7660967370913,118.74427796303273,516.0461218157841
100,4240.1716205609755,555.8158687730254,96.93833500735066,515.9223276598759
101,4195.916975416028,554.9103863548221,101.0098665341052,515.9348197932851
102,4153.306655846314,554.032401353039,102.03418328357019,515.9406801445375
103,4112.279565291494,553.1810787344443,102.17576492633427,515.9452348518709
104,4072.7768772949967,552.3556088238436,102.06478803158376,515.9486787369135
105,8317.323041145786,867.7248480296743,108.18109953267549,516.0032548823651
106,8123.555428895978,857.4725391837195,109.0294973908757,515.9996883321869
107,7936.917697093589,847.5305419203835,108.97943472295766,515.9984417999846
108,7757.147494385858,837.8894638891474,108.67631714484368,515.9983672142235
109,7583.992122910407,828.5401970223012,108.30780361812286,515.998038799736
110,4705.528821731616,594.5329354551588,134.99163406372384,516.161292342332
111,4643.7118573767,592.4566211868321,127.52285238509779,516.1385532271939
112,4584.210100475456,590.4439594251407,124.74708104999317,516.125955030355
113,4526.936840436228,588.4929988076814,123.35555578673973,516.1158967553396
114,4471.80861420645,586.6018477939716,122.383963178189,516.1074310600961
115,4228.687430061648,553.339877791003,117.93947831698001,516.0519463735283
116,4184.758916616504,552.5113078708706,120.61696514945095,516.0705520810363
117,4142.476847970484,551.7081546081517,120.8508964367147,516.0718839243476
118,4101.779515218279,550.929638338441,120.3889339154546,516.0684854896393
119,4062.60752231013,550.1750033137976,119.73953100756505,516.0653750913067
120,6790.028630435225,754.7821905723787,128.52985748487538,516.1090652615324
121,6651.44027193849,747.8699492442325,128.5691108173279,516.1182588010714
122,6518.001498654247,741.1688486521456,127.89799319849925,516.1159111701116
123,6389.520965305387,734.6724393091414,127.0395958358706,516.1103291291794
124,6265.8144365107555,728.3744687337245,126.14566903544093,516.1054011303311
125,8145.053272090752,849.3924268917383,122.36571613182677,516.0798706001002
126,7959.104224369782,839.7130450486216,123.88075248883408,516.0870420565644
127,7779.962853887631,830.3266545284289,123.72131720466487,516.0859897192305
128,7607.379928556499,821.2243865917407,123.09156528214592,516.0836702791208
129,7441.115340786033,812.3976409526127,122.34159755848461,516.0813744471703
130,13544.972052466786,1159.74214511467,168.78527172019167,516.3107500969269
131,13183.6185675399,1141.3398584627732,168.1807726608253,516.3110007663761
132,12834.76878385502,1123.4778898096874,166.53203074248495,516.2987367892162
133,12497.990043222118,1106.1403746302394,164.62112000023495,516.2848569179923
134,12172.86465846701,1089.3119142048727,162.67470419616032,516.2729849453432
135,7196.636794197515,785.3407523467827,142.01244156083087,516.1580276140121
136,7043.651912799828,777.5429522201757,146.7733701346556,516.17231967588
137,6896.3556934965645,769.9833601766442,147.07679293577343,516.173612251338
