,Time,evp
312,2006-01-01,123.36232
313,2006-02-01,135.044861
314,2006-03-01,150.0621
315,2006-04-01,155.428574
316,2006-05-01,127.613525
317,2006-06-01,115.279495
318,2006-06-06,104.336784
319,2006-08-01,97.34714
320,2006-09-01,106.136642
321,2006-10-01,116.516212
322,2006-11-01,112.49688700000002
323,2006-12-01,117.75293
324,2007-01-01,146.2305
325,2007-02-01,138.26915
326,2007-03-01,162.252609
327,2007-04-01,169.209122
328,2007-05-01,144.3202
329,2007-06-01,112.09938
330,2007-07-01,99.95307
331,2007-08-01,111.03933
332,2007-09-01,102.691513
333,2007-10-01,121.860596
334,2007-11-01,96.3312759
335,2007-12-01,123.097313
336,2008-01-01,130.351974
337,2008-02-01,140.76466399999995
338,2008-03-01,166.0842
339,2008-04-01,154.10351599999996
340,2008-05-01,126.244308
341,2008-06-01,110.509315
342,2008-07-01,115.146988
343,2008-08-01,106.523125
344,2008-09-01,93.81366
345,2008-10-01,84.33955
346,2008-11-01,104.016563
347,2008-12-01,112.408554
348,2009-01-01,137.73912
349,2009-02-01,136.16011
350,2009-03-01,145.545883
351,2009-04-01,139.262955
352,2009-05-01,126.785378
353,2009-06-01,113.424431
354,2009-07-01,106.799179
355,2009-08-01,102.824013
356,2009-09-01,92.62111
357,2009-10-01,115.5666
358,2009-11-01,124.554871
359,2009-12-01,126.928917
360,2010-01-01,141.846817
361,2010-02-01,137.893723
362,2010-03-01,170.600418
363,2010-04-01,150.790878
364,2010-05-01,133.222916
365,2010-06-01,102.161484
366,2010-07-01,112.552109
367,2010-08-01,104.877853
368,2010-09-01,104.811592
369,2010-10-01,108.44445
370,2010-11-01,102.824013
371,2010-12-01,125.28363799999998
372,2011-01-01,101.27314
373,2011-02-01,107.4074
374,2011-03-01,129.86111499999998
375,2011-04-01,126.793991
376,2011-05-01,189.293991
377,2011-06-01,165.79861499999996
378,2011-07-01,170.428238
379,2011-08-01,153.067139
380,2011-09-01,68.22916409999999
381,2011-10-01,79.80324
382,2011-11-01,93.69212
383,2011-12-01,95.65972
384,2012-01-01,150.7523
385,2012-02-01,172.164352
386,2012-03-01,187.210663
387,2012-04-01,178.761566
388,2012-05-01,163.252319
389,2012-06-01,159.54861499999996
390,2012-07-01,164.2361
391,2012-08-01,150.57872
392,2012-09-01,149.71066299999995
393,2012-10-01,129.803238
394,2012-11-01,149.305557
395,2012-12-01,148.090271
396,2013-01-01,217.222214
397,2013-02-01,235.833328
398,2013-03-01,271.666656
399,2013-04-01,253.819458
400,2013-05-01,220.277786
401,2013-06-01,258.611084
402,2013-07-01,237.6389
403,2013-08-01,214.375
404,2013-09-01,72.15278
405,2013-10-01,89.72222
406,2013-11-01,92.56944
407,2013-12-01,152.15278600000005
408,2014-01-01,127.256943
409,2014-02-01,125.4051
410,2014-03-01,149.363434
411,2014-04-01,139.004623
412,2014-05-01,124.5949
413,2014-06-01,90.16204
414,2014-07-01,189.525452
415,2014-08-01,213.54167200000003
416,2014-09-01,207.002319
417,2014-10-01,119.675926
418,2014-11-01,127.31481200000002
419,2014-12-01,118.634262
420,2015-01-01,140.856476
421,2015-02-01,134.432877
422,2015-03-01,164.293976
423,2015-04-01,167.129623
424,2015-05-01,137.384262
425,2015-06-01,110.5324
426,2015-07-01,102.256943
427,2015-08-01,109.317116
428,2015-09-01,93.1712952
429,2015-10-01,106.365746
430,2015-11-01,112.615738
431,2015-12-01,121.296295
432,2016-01-01,153.680557
433,2016-02-01,127.569443
434,2016-03-01,155.833328
435,2016-04-01,158.541672
436,2016-05-01,130.34721399999998
437,2016-06-01,104.86111499999998
438,2016-07-01,97.0138855
439,2016-08-01,103.680557
440,2016-09-01,88.33333590000002
441,2016-10-01,100.902779
