Time,KonTum
1999-04-01 00:00:00,139.130447
1999-05-01 00:00:00,130.07591200000002
1999-06-01 00:00:00,102.028984
1999-07-01 00:00:00,109.879906
1999-08-01 00:00:00,119.80675500000001
1999-09-01 00:00:00,102.028984
1999-10-01 00:00:00,103.718422
1999-11-01 00:00:00,102.028984
1999-12-01 00:00:00,96.87233
2000-01-01 00:00:00,95.84541999999999
2000-02-01 00:00:00,129.369217
2000-03-01 00:00:00,157.802628
2000-04-01 00:00:00,137.474121
2000-05-01 00:00:00,118.09523
2000-06-01 00:00:00,113.95444499999999
2000-07-01 00:00:00,99.61076
2000-08-01 00:00:00,112.61835500000001
2000-09-01 00:00:00,94.7412
2000-10-01 00:00:00,99.26846
2000-11-01 00:00:00,109.64804099999999
2000-12-01 00:00:00,108.853012
2001-01-01 00:00:00,122.202896
2001-02-01 00:00:00,128.927536
2001-03-01 00:00:00,143.768112
2001-04-01 00:00:00,154.699814
2001-05-01 00:00:00,124.94133799999999
2001-06-01 00:00:00,111.304344
2001-07-01 00:00:00,116.04140500000001
2001-08-01 00:00:00,99.95307
2001-09-01 00:00:00,111.966866
2001-10-01 00:00:00,118.779854
2001-11-01 00:00:00,110.641815
2001-12-01 00:00:00,104.40303
2002-01-01 00:00:00,124.322975
2002-02-01 00:00:00,141.22843899999995
2002-03-01 00:00:00,167.044846
2002-04-01 00:00:00,150.260864
2002-05-01 00:00:00,147.05864
2002-06-01 00:00:00,97.39129
2002-07-01 00:00:00,103.24361400000001
2002-08-01 00:00:00,104.4693
2002-09-01 00:00:00,85.99584
2002-10-01 00:00:00,115.5666
2002-11-01 00:00:00,112.89439399999999
2002-12-01 00:00:00,118.1615
2003-01-01 00:00:00,128.982742
2003-02-01 00:00:00,128.9938
2003-03-01 00:00:00,164.582474
2003-04-01 00:00:00,165.101456
2003-05-01 00:00:00,142.807449
2003-06-01 00:00:00,118.592133
2003-07-01 00:00:00,111.867493
2003-08-01 00:00:00,101.598351
2003-09-01 00:00:00,104.811592
2003-10-01 00:00:00,98.99240999999999
2003-11-01 00:00:00,105.606613
2003-12-01 00:00:00,119.93927
2004-01-01 00:00:00,130.351974
2004-02-01 00:00:00,153.95996100000005
2004-03-01 00:00:00,168.414078
2004-04-01 00:00:00,144.430649
2004-05-01 00:00:00,128.8392
2004-06-01 00:00:00,99.246376
2004-07-01 00:00:00,115.5666
2004-08-01 00:00:00,82.97032
2004-09-01 00:00:00,103.089035
2004-10-01 00:00:00,120.49137900000001
2004-11-01 00:00:00,117.53208899999998
2004-12-01 00:00:00,129.523819
2005-01-01 00:00:00,132.129761
2005-02-01 00:00:00,138.8875
